Scene,Filename,Mean_PSNR,Mean_SSIM,Gaussian_PSNR,Gaussian_SSIM,Median_PSNR,Median_SSIM
L15-0331E-1257N_1327_3160_13,global_monthly_2019_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,28.95263886925076,0.882259039697163,33.728632502358174,0.9515710299536563,29.77023515992666,0.8961824908268955
L15-0331E-1257N_1327_3160_13,global_monthly_2019_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,29.432353501170667,0.888143134437229,34.18516518120492,0.9530961168486792,30.254501523639735,0.9005141933157685
L15-0331E-1257N_1327_3160_13,global_monthly_2019_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,29.731512236720256,0.8952517201383857,34.48583914175535,0.9565570505650943,30.669416982135438,0.9093671684773634
L15-0331E-1257N_1327_3160_13,global_monthly_2019_04_mosaic_L15-0331E-1257N_1327_3160_13.tif,29.33575553970522,0.8878215446415134,34.156746673245564,0.9558793873370501,30.436788992471207,0.9044774536824624
L15-0331E-1257N_1327_3160_13,global_monthly_2019_05_mosaic_L15-0331E-1257N_1327_3160_13.tif,29.795272799418026,0.8920324581460288,34.648813703454145,0.9593623603420114,30.87370002804693,0.9075468592455063
L15-0331E-1257N_1327_3160_13,global_monthly_2019_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.216785997545237,0.888218009479988,34.970615927327195,0.955972702037555,31.209610273314112,0.9021603471263467
L15-0331E-1257N_1327_3160_13,global_monthly_2019_07_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.68029700208397,0.8911702655703265,35.40133113314793,0.9566124350068753,31.710883169620327,0.9044503944440687
L15-0331E-1257N_1327_3160_13,global_monthly_2019_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.50257176589774,0.8834875828307922,35.18156029817287,0.9534358891520832,31.45982461066754,0.8972475647009708
L15-0331E-1257N_1327_3160_13,global_monthly_2019_09_mosaic_L15-0331E-1257N_1327_3160_13.tif,33.862276362770146,0.9081176831060703,38.015606974158956,0.9581883505113392,34.56011854182446,0.9151618825140732
L15-0331E-1257N_1327_3160_13,global_monthly_2019_10_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.46130811985916,0.888719273216444,35.17012555935143,0.9554894074795011,31.416136280249113,0.9020651289447769
L15-0331E-1257N_1327_3160_13,global_monthly_2019_11_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.741972808635065,0.8924712604066923,35.471454783778235,0.9574437361552512,31.67198175599371,0.905243345943871
L15-0331E-1257N_1327_3160_13,global_monthly_2019_12_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.59365839069428,0.8652309681577105,35.03075013658839,0.9413445078389162,31.218236127212805,0.8748772344401654
L15-0331E-1257N_1327_3160_13,global_monthly_2020_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.889321687013496,0.8914345418193901,35.48081580226392,0.9520538434711046,31.54010024789255,0.9008870446523372
L15-0357E-1223N_1429_3296_13,global_monthly_2018_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,28.8704238557208,0.8638645240817695,33.55160431480422,0.9508060401807127,29.70984742273079,0.8819000802500331
L15-0357E-1223N_1429_3296_13,global_monthly_2018_02_mosaic_L15-0357E-1223N_1429_3296_13.tif,25.452923770665983,0.8243326912415857,30.242608443027436,0.9418042813152881,26.4075518164559,0.8531990738024191
L15-0357E-1223N_1429_3296_13,global_monthly_2018_03_mosaic_L15-0357E-1223N_1429_3296_13.tif,25.835912635330942,0.8228531971320897,30.60291727494995,0.9406201770696258,26.786068825744913,0.851384230747905
L15-0357E-1223N_1429_3296_13,global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13.tif,33.486804717972866,0.9171284949256089,37.833996038017055,0.9648233312153891,34.32350304469872,0.9248792833629531
L15-0357E-1223N_1429_3296_13,global_monthly_2018_05_mosaic_L15-0357E-1223N_1429_3296_13.tif,29.2727565626367,0.8509904619786844,33.89206166111077,0.9470405010592311,30.174610112965816,0.8712067379860466
L15-0357E-1223N_1429_3296_13,global_monthly_2018_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,28.8296054198402,0.844895480018803,33.4345393220599,0.9450332287907531,29.749970455345007,0.8665099399868671
L15-0357E-1223N_1429_3296_13,global_monthly_2018_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,29.68494075576189,0.8732558874766342,34.45550656378974,0.9557502623221167,30.765710747901768,0.892182093696096
L15-0357E-1223N_1429_3296_13,global_monthly_2018_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,30.158801355890724,0.8570711708918921,34.719660715792216,0.947842566012013,30.95908284200683,0.874580619750036
L15-0357E-1223N_1429_3296_13,global_monthly_2018_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.23710965823679,0.8424022848009669,31.959813037954206,0.9457925447068063,28.20321233695865,0.8663734518006383
L15-0357E-1223N_1429_3296_13,global_monthly_2018_10_mosaic_L15-0357E-1223N_1429_3296_13.tif,26.201292004722557,0.8399777192051459,31.0664328969334,0.947312469860784,27.231264257281453,0.8670304624150218
L15-0357E-1223N_1429_3296_13,global_monthly_2018_11_mosaic_L15-0357E-1223N_1429_3296_13.tif,28.379485633411722,0.8925784764615419,33.35676264241022,0.9620441122521484,29.543607103764845,0.9102436678610064
L15-0357E-1223N_1429_3296_13,global_monthly_2018_12_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.699133144631052,0.8817959660074727,32.61851537576775,0.9571727518603291,28.776238708677543,0.9011500994152017
L15-0357E-1223N_1429_3296_13,global_monthly_2019_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,26.15803362423428,0.8636374679717405,31.089059803304803,0.9524649420451757,27.280401416812463,0.8878939854538572
L15-0357E-1223N_1429_3296_13,global_monthly_2019_02_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.674934827823705,0.861768878890939,32.50391000759629,0.9503137723415391,28.694827295691102,0.8820763387270018
L15-0357E-1223N_1429_3296_13,global_monthly_2019_03_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.509595015549408,0.8725863760482123,32.37471798922857,0.9545412961940724,28.627382497260882,0.8940195131122596
L15-0357E-1223N_1429_3296_13,global_monthly_2019_04_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.692418367976217,0.8473825444958055,32.42136187690395,0.9464129367934719,28.710770051546692,0.8705248866243686
L15-0357E-1223N_1429_3296_13,global_monthly_2019_05_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.462298889673242,0.8443129117995567,32.211008832519745,0.9463648595388116,28.513982993505653,0.869451768752972
L15-0357E-1223N_1429_3296_13,global_monthly_2019_06_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.1666468510032,0.8314292525648272,31.815578149659366,0.9415201375080544,28.101283301730984,0.8565483118758982
L15-0357E-1223N_1429_3296_13,global_monthly_2019_07_mosaic_L15-0357E-1223N_1429_3296_13.tif,28.647769840871344,0.8634685802211493,33.43887449272876,0.9527059860116207,29.689502875545983,0.8841221413243701
L15-0357E-1223N_1429_3296_13,global_monthly_2019_08_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.18326013948305,0.8365765142464547,31.931894204547334,0.9438816270840386,28.18240225752399,0.8615148459933735
L15-0357E-1223N_1429_3296_13,global_monthly_2019_09_mosaic_L15-0357E-1223N_1429_3296_13.tif,30.884155690612587,0.8678561802431771,35.40134537280808,0.9514475529042437,31.679164719661372,0.8840107458996763
L15-0357E-1223N_1429_3296_13,global_monthly_2019_10_mosaic_L15-0357E-1223N_1429_3296_13.tif,28.371396952006904,0.87084273348744,33.194312700315194,0.9547850668951182,29.36754402060434,0.8898688532241152
L15-0357E-1223N_1429_3296_13,global_monthly_2019_11_mosaic_L15-0357E-1223N_1429_3296_13.tif,26.201816732618077,0.8365441163707259,31.01496366257917,0.944005522368063,27.116686445873896,0.8617716480411178
L15-0357E-1223N_1429_3296_13,global_monthly_2019_12_mosaic_L15-0357E-1223N_1429_3296_13.tif,30.515472082520937,0.8897217325283234,35.23347752002998,0.9582792518798214,31.36725452603281,0.9030263763098827
L15-0357E-1223N_1429_3296_13,global_monthly_2020_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,27.771574273088003,0.8599064969695098,32.550673650292204,0.9472867238815837,28.62637180356705,0.8772080067491148
L15-0358E-1220N_1433_3310_13,global_monthly_2018_02_mosaic_L15-0358E-1220N_1433_3310_13.tif,28.002968894419567,0.8568104946122753,32.832944980272984,0.9511646221606379,29.231588261633075,0.8825381575088851
